Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Bathurst Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bayside,Total,Total,420,520,630,"3,004","25,579",0.00%,-6.73%,-15.95%,15.36%
Total,Total,Total,Bayside,Total,Bedsitter,350,350,368,s,128,6.06%,-8.50%,50.00%,50.00%
Total,Total,Total,Bayside,Total,1 Bedroom,410,460,500,646,"4,533",2.22%,-6.12%,-20.83%,29.46%
Total,Total,Total,Bayside,Total,Not Specified,200,350,558,32,877,-32.04%,-30.00%,0.00%,6.67%
Total,Total,Total,Bayside,Total,2 Bedrooms,400,520,600,"1,709","14,196",0.00%,-5.45%,-14.85%,15.71%
Total,Total,Total,Bayside,Total,3 Bedrooms,590,700,800,496,"4,810",0.00%,0.00%,-17.74%,-0.60%
Total,Total,Total,Bayside,Total,4 or more Bedrooms,695,850,1000,103,"1,035",0.00%,0.00%,-0.96%,18.39%
Total,Total,Total,Bayside,House,Total,550,660,793,315,"3,564",1.54%,6.02%,-9.74%,10.14%
Total,Total,Total,Bayside,House,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bayside,House,1 Bedroom,280,350,445,s,101,16.67%,4.48%,36.36%,7.14%
Total,Total,Total,Bayside,House,Not Specified,-,-,-,-,82,-,-,-,-
Total,Total,Total,Bayside,House,2 Bedrooms,450,550,620,76,774,3.77%,5.77%,-20.00%,7.04%
Total,Total,Total,Bayside,House,3 Bedrooms,600,700,790,149,"1,794",4.09%,9.80%,-13.37%,12.88%
Total,Total,Total,Bayside,House,4 or more Bedrooms,670,900,1075,75,799,5.88%,15.38%,7.14%,11.94%
Total,Total,Total,Bayside,Other,Total,380,495,600,81,"1,546",-1.00%,1.02%,30.65%,19.12%
Total,Total,Total,Bayside,Other,Bedsitter,-,-,-,-,31,-,-,-,-
Total,Total,Total,Bayside,Other,1 Bedroom,225,348,450,s,169,-10.32%,-4.14%,-14.29%,0.00%
Total,Total,Total,Bayside,Other,Not Specified,260,440,580,s,463,-6.38%,-18.52%,0.00%,37.50%
Total,Total,Total,Bayside,Other,2 Bedrooms,400,480,565,43,586,0.00%,-1.03%,72.00%,53.57%
Total,Total,Total,Bayside,Other,3 Bedrooms,588,635,655,s,254,5.83%,-6.62%,9.09%,-20.00%
Total,Total,Total,Bayside,Other,4 or more Bedrooms,-,-,-,-,43,-,-,-,-
Total,Total,Total,Bayside,Townhouse,Total,558,650,800,76,"1,078",-3.70%,6.12%,-24.75%,-24.00%
Total,Total,Total,Bayside,Townhouse,1 Bedroom,-,-,-,-,42,-,-,-,-
Total,Total,Total,Bayside,Townhouse,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bayside,Townhouse,2 Bedrooms,480,550,600,31,373,10.00%,3.29%,3.33%,-8.82%
Total,Total,Total,Bayside,Townhouse,3 Bedrooms,650,700,813,32,533,0.00%,0.00%,-34.69%,-25.58%
Total,Total,Total,Bayside,Townhouse,4 or more Bedrooms,820,850,980,s,110,-8.60%,-10.53%,-27.78%,-13.33%
Total,Total,Total,Bayside,Flat/Unit,Total,410,500,600,"2,532","19,391",0.00%,-9.09%,-17.31%,17.77%
Total,Total,Total,Bayside,Flat/Unit,Bedsitter,350,350,370,s,83,6.06%,-10.26%,54.55%,142.86%
Total,Total,Total,Bayside,Flat/Unit,1 Bedroom,420,460,500,619,"4,221",2.22%,-6.12%,-21.45%,32.83%
Total,Total,Total,Bayside,Flat/Unit,Not Specified,200,325,395,s,312,-33.67%,-36.27%,10.53%,5.00%
Total,Total,Total,Bayside,Flat/Unit,2 Bedrooms,400,520,600,"1,559","12,463",0.00%,-7.14%,-16.05%,16.00%
Total,Total,Total,Bayside,Flat/Unit,3 Bedrooms,580,700,800,303,"2,229",-2.78%,-6.67%,-18.33%,-1.94%
Total,Total,Total,Bayside,Flat/Unit,4 or more Bedrooms,670,750,900,s,83,-1.96%,6.38%,-18.75%,225.00%
Total,Total,Total,Bega Valley,Total,Total,340,400,470,188,"2,299",1.27%,14.29%,5.62%,-8.74%
Total,Total,Total,Bega Valley,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,Total,1 Bedroom,200,235,283,s,161,4.44%,-6.00%,77.78%,14.29%
Total,Total,Total,Bega Valley,Total,Not Specified,-,-,-,-,87,-,-,-,-
Total,Total,Total,Bega Valley,Total,2 Bedrooms,320,350,380,65,802,0.00%,12.90%,0.00%,-16.67%
