Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Bega Valley,Total,3 Bedrooms,390,450,500,68,922,5.88%,13.92%,-5.56%,-15.00%
Total,Total,Total,Bega Valley,Total,4 or more Bedrooms,428,485,530,32,322,-3.00%,7.78%,10.34%,18.52%
Total,Total,Total,Bega Valley,House,Total,400,450,530,101,"1,216",0.00%,12.50%,12.22%,-17.21%
Total,Total,Total,Bega Valley,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bega Valley,House,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bega Valley,House,2 Bedrooms,340,370,411,s,175,-1.33%,5.71%,55.56%,-44.00%
Total,Total,Total,Bega Valley,House,3 Bedrooms,400,450,528,54,697,4.65%,12.50%,5.88%,-15.62%
Total,Total,Total,Bega Valley,House,4 or more Bedrooms,433,485,530,s,296,-3.00%,7.78%,3.45%,20.00%
Total,Total,Total,Bega Valley,Other,Total,-,-,-,-,143,-,-,-,-
Total,Total,Total,Bega Valley,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bega Valley,Other,Not Specified,-,-,-,-,36,-,-,-,-
Total,Total,Total,Bega Valley,Other,2 Bedrooms,-,-,-,-,48,-,-,-,-
Total,Total,Total,Bega Valley,Other,3 Bedrooms,-,-,-,-,34,-,-,-,-
Total,Total,Total,Bega Valley,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bega Valley,Townhouse,Total,-,-,-,-,133,-,-,-,-
Total,Total,Total,Bega Valley,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,Townhouse,2 Bedrooms,-,-,-,-,43,-,-,-,-
Total,Total,Total,Bega Valley,Townhouse,3 Bedrooms,-,-,-,-,76,-,-,-,-
Total,Total,Total,Bega Valley,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,Flat/Unit,Total,280,338,360,72,807,2.27%,12.50%,7.46%,-1.37%
Total,Total,Total,Bega Valley,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bega Valley,Flat/Unit,1 Bedroom,200,240,285,s,128,-4.95%,1.05%,87.50%,50.00%
Total,Total,Total,Bega Valley,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bega Valley,Flat/Unit,2 Bedrooms,300,350,370,45,536,6.06%,16.67%,-6.25%,-10.00%
Total,Total,Total,Bega Valley,Flat/Unit,3 Bedrooms,-,-,-,-,115,-,-,-,-
Total,Total,Total,Bega Valley,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Total,Total,330,430,520,69,874,2.38%,16.22%,18.97%,-1.43%
Total,Total,Total,Bellingen,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Total,1 Bedroom,-,-,-,-,74,-,-,-,-
Total,Total,Total,Bellingen,Total,Not Specified,-,-,-,-,40,-,-,-,-
Total,Total,Total,Bellingen,Total,2 Bedrooms,330,350,400,s,216,9.38%,16.67%,63.64%,0.00%
Total,Total,Total,Bellingen,Total,3 Bedrooms,421,480,530,s,387,11.63%,17.07%,30.00%,-18.75%
Total,Total,Total,Bellingen,Total,4 or more Bedrooms,455,550,565,s,153,17.02%,17.02%,-25.00%,50.00%
Total,Total,Total,Bellingen,House,Total,405,480,545,50,613,6.67%,20.00%,11.11%,-1.96%
Total,Total,Total,Bellingen,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bellingen,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,House,2 Bedrooms,-,-,-,-,95,-,-,-,-
Total,Total,Total,Bellingen,House,3 Bedrooms,425,480,530,s,345,7.87%,17.07%,38.89%,-13.79%
Total,Total,Total,Bellingen,House,4 or more Bedrooms,455,550,565,s,151,17.02%,17.02%,-25.00%,50.00%
Total,Total,Total,Bellingen,Other,Total,-,-,-,-,56,-,-,-,-
Total,Total,Total,Bellingen,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Other,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bellingen,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bellingen,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Townhouse,Total,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bellingen,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bellingen,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bellingen,Flat/Unit,Total,296,308,350,s,176,6.03%,13.89%,40.00%,7.69%
Total,Total,Total,Bellingen,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Flat/Unit,1 Bedroom,-,-,-,-,53,-,-,-,-
Total,Total,Total,Bellingen,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bellingen,Flat/Unit,2 Bedrooms,-,-,-,-,96,-,-,-,-
Total,Total,Total,Bellingen,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Berrigan,Total,Total,210,270,310,53,555,12.50%,8.00%,-14.52%,-10.17%
Total,Total,Total,Berrigan,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Berrigan,Total,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Berrigan,Total,2 Bedrooms,144,195,220,s,237,-6.02%,21.88%,-33.33%,42.86%
Total,Total,Total,Berrigan,Total,3 Bedrooms,250,300,350,s,204,15.38%,20.00%,-32.00%,-46.87%
Total,Total,Total,Berrigan,Total,4 or more Bedrooms,300,340,378,s,66,19.30%,21.43%,71.43%,0.00%
Total,Total,Total,Berrigan,House,Total,243,300,350,34,316,17.65%,20.00%,0.00%,-19.05%
Total,Total,Total,Berrigan,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,House,2 Bedrooms,-,-,-,-,61,-,-,-,-
Total,Total,Total,Berrigan,House,3 Bedrooms,250,298,350,s,184,11.21%,19.00%,-20.00%,-42.86%
Total,Total,Total,Berrigan,House,4 or more Bedrooms,300,340,378,s,63,19.30%,21.43%,71.43%,0.00%
Total,Total,Total,Berrigan,Other,Total,-,-,-,-,s,-,-,-,-
Total,Total,Total,Berrigan,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Other,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Townhouse,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Flat/Unit,Total,138,210,235,s,208,5.00%,20.00%,-26.92%,11.76%
Total,Total,Total,Berrigan,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Berrigan,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Berrigan,Flat/Unit,2 Bedrooms,123,155,230,s,167,-21.52%,3.33%,-31.82%,15.38%
Total,Total,Total,Berrigan,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blacktown,Total,Total,370,440,550,"3,030","33,276",1.15%,4.76%,3.45%,-4.72%
Total,Total,Total,Blacktown,Total,Bedsitter,-,-,-,-,68,-,-,-,-
Total,Total,Total,Blacktown,Total,1 Bedroom,250,320,380,176,"1,395",6.67%,3.23%,15.79%,-8.81%
Total,Total,Total,Blacktown,Total,Not Specified,323,394,495,58,"2,030",-6.25%,-1.56%,-15.94%,-56.06%
Total,Total,Total,Blacktown,Total,2 Bedrooms,340,375,430,891,"7,202",1.35%,4.17%,4.09%,4.21%
Total,Total,Total,Blacktown,Total,3 Bedrooms,400,445,500,"1,053","13,330",3.49%,5.95%,1.84%,-5.73%
Total,Total,Total,Blacktown,Total,4 or more Bedrooms,540,600,656,844,"9,251",0.00%,9.09%,3.69%,-3.32%
Total,Total,Total,Blacktown,House,Total,400,480,600,"1,867","21,151",0.00%,6.67%,4.30%,-4.74%
Total,Total,Total,Blacktown,House,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blacktown,House,1 Bedroom,218,253,305,32,217,1.00%,1.00%,10.34%,0.00%
Total,Total,Total,Blacktown,House,Not Specified,-,-,-,-,595,-,-,-,-
Total,Total,Total,Blacktown,House,2 Bedrooms,330,360,400,219,"1,871",0.00%,2.86%,1.39%,-0.90%
Total,Total,Total,Blacktown,House,3 Bedrooms,395,440,500,832,"10,187",2.33%,7.32%,4.00%,-5.13%
Total,Total,Total,Blacktown,House,4 or more Bedrooms,550,600,660,772,"8,256",0.00%,7.14%,4.89%,-1.66%
Total,Total,Total,Blacktown,Other,Total,320,370,420,196,"3,288",0.00%,5.71%,4.26%,-15.88%
Total,Total,Total,Blacktown,Other,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blacktown,Other,1 Bedroom,184,250,313,s,310,-10.71%,0.00%,21.74%,-31.71%
Total,Total,Total,Blacktown,Other,Not Specified,328,391,473,44,"1,218",-6.85%,2.96%,-18.52%,-42.11%
Total,Total,Total,Blacktown,Other,2 Bedrooms,330,370,380,89,733,2.78%,5.71%,21.92%,20.27%
Total,Total,Total,Blacktown,Other,3 Bedrooms,400,440,490,s,735,12.10%,12.82%,13.64%,-13.79%
Total,Total,Total,Blacktown,Other,4 or more Bedrooms,-,-,-,-,272,-,-,-,-
Total,Total,Total,Blacktown,Townhouse,Total,391,450,520,262,"3,197",0.00%,2.27%,-3.68%,-6.76%
Total,Total,Total,Blacktown,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blacktown,Townhouse,1 Bedroom,-,-,-,-,51,-,-,-,-
Total,Total,Total,Blacktown,Townhouse,Not Specified,-,-,-,-,97,-,-,-,-
Total,Total,Total,Blacktown,Townhouse,2 Bedrooms,350,380,433,63,539,-2.56%,5.56%,-5.97%,31.25%
Total,Total,Total,Blacktown,Townhouse,3 Bedrooms,400,450,485,133,"1,829",0.00%,4.65%,-5.67%,-10.14%
Total,Total,Total,Blacktown,Townhouse,4 or more Bedrooms,510,550,580,61,679,1.85%,7.84%,3.39%,-11.59%
Total,Total,Total,Blacktown,Flat/Unit,Total,330,380,440,705,"5,640",0.00%,1.33%,3.83%,-0.14%
Total,Total,Total,Blacktown,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blacktown,Flat/Unit,1 Bedroom,310,360,390,112,817,7.46%,0.00%,16.67%,-1.75%
Total,Total,Total,Blacktown,Flat/Unit,Not Specified,-,-,-,-,120,-,-,-,-
Total,Total,Total,Blacktown,Flat/Unit,2 Bedrooms,340,388,440,520,"4,059",1.97%,4.03%,4.00%,1.56%
Total,Total,Total,Blacktown,Flat/Unit,3 Bedrooms,400,480,510,63,579,0.00%,0.00%,-11.27%,0.00%
Total,Total,Total,Blacktown,Flat/Unit,4 or more Bedrooms,-,-,-,-,44,-,-,-,-
Total,Total,Total,Bland,Total,Total,169,258,313,s,295,0.00%,1.98%,30.00%,8.33%
Total,Total,Total,Bland,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Total,1 Bedroom,-,-,-,-,34,-,-,-,-
Total,Total,Total,Bland,Total,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bland,Total,2 Bedrooms,-,-,-,-,66,-,-,-,-
Total,Total,Total,Bland,Total,3 Bedrooms,253,275,305,s,129,-4.35%,0.92%,10.00%,10.00%
Total,Total,Total,Bland,Total,4 or more Bedrooms,-,-,-,-,47,-,-,-,-
Total,Total,Total,Bland,House,Total,255,275,320,s,191,0.00%,-5.98%,6.25%,6.25%
Total,Total,Total,Bland,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bland,House,3 Bedrooms,-,-,-,-,114,-,-,-,-
Total,Total,Total,Bland,House,4 or more Bedrooms,-,-,-,-,47,-,-,-,-
Total,Total,Total,Bland,Other,Total,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bland,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Other,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Townhouse,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Flat/Unit,Total,-,-,-,-,85,-,-,-,-
Total,Total,Total,Bland,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bland,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bland,Flat/Unit,2 Bedrooms,-,-,-,-,46,-,-,-,-
Total,Total,Total,Bland,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Total,Total,270,350,393,40,429,26.13%,16.67%,17.65%,-4.76%
Total,Total,Total,Blayney,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blayney,Total,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blayney,Total,2 Bedrooms,-,-,-,-,85,-,-,-,-
Total,Total,Total,Blayney,Total,3 Bedrooms,320,350,370,s,190,20.69%,18.64%,18.18%,-45.83%
Total,Total,Total,Blayney,Total,4 or more Bedrooms,370,400,480,s,97,0.00%,6.67%,66.67%,50.00%
Total,Total,Total,Blayney,House,Total,300,360,420,33,321,20.00%,20.00%,22.22%,-10.81%
Total,Total,Total,Blayney,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,House,2 Bedrooms,-,-,-,-,43,-,-,-,-
Total,Total,Total,Blayney,House,3 Bedrooms,320,350,370,s,174,18.64%,18.64%,30.00%,-43.48%
Total,Total,Total,Blayney,House,4 or more Bedrooms,370,400,480,s,94,0.00%,6.67%,66.67%,50.00%
Total,Total,Total,Blayney,Other,Total,-,-,-,-,37,-,-,-,-
Total,Total,Total,Blayney,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Other,Not Specified,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blayney,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Townhouse,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Flat/Unit,Total,-,-,-,-,62,-,-,-,-
Total,Total,Total,Blayney,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blayney,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blayney,Flat/Unit,2 Bedrooms,-,-,-,-,35,-,-,-,-
Total,Total,Total,Blayney,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blue Mountains,Total,Total,410,470,550,334,"4,787",2.17%,5.62%,-13.25%,-12.79%
Total,Total,Total,Blue Mountains,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blue Mountains,Total,1 Bedroom,290,305,380,s,430,-1.61%,1.67%,-22.22%,-9.68%
Total,Total,Total,Blue Mountains,Total,Not Specified,-,-,-,-,163,-,-,-,-
Total,Total,Total,Blue Mountains,Total,2 Bedrooms,373,420,450,79,"1,123",5.00%,13.51%,-4.82%,-10.23%
Total,Total,Total,Blue Mountains,Total,3 Bedrooms,450,480,530,156,"2,203",0.00%,6.67%,-17.46%,-11.36%
Total,Total,Total,Blue Mountains,Total,4 or more Bedrooms,550,600,680,68,853,0.00%,9.09%,-4.23%,-19.05%
Total,Total,Total,Blue Mountains,House,Total,450,498,580,264,"3,542",3.65%,10.56%,-9.28%,-13.16%
Total,Total,Total,Blue Mountains,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blue Mountains,House,1 Bedroom,-,-,-,-,98,-,-,-,-
Total,Total,Total,Blue Mountains,House,Not Specified,-,-,-,-,60,-,-,-,-
Total,Total,Total,Blue Mountains,House,2 Bedrooms,400,430,460,53,630,4.88%,13.16%,23.26%,-1.85%
Total,Total,Total,Blue Mountains,House,3 Bedrooms,450,480,550,140,"1,936",0.00%,6.67%,-17.16%,-10.83%
Total,Total,Total,Blue Mountains,House,4 or more Bedrooms,550,600,680,66,817,1.69%,9.09%,-4.35%,-20.48%
Total,Total,Total,Blue Mountains,Other,Total,-,-,-,-,232,-,-,-,-
Total,Total,Total,Blue Mountains,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blue Mountains,Other,1 Bedroom,-,-,-,-,31,-,-,-,-
Total,Total,Total,Blue Mountains,Other,Not Specified,-,-,-,-,62,-,-,-,-
Total,Total,Total,Blue Mountains,Other,2 Bedrooms,-,-,-,-,52,-,-,-,-
Total,Total,Total,Blue Mountains,Other,3 Bedrooms,-,-,-,-,68,-,-,-,-
Total,Total,Total,Blue Mountains,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blue Mountains,Townhouse,Total,400,430,490,s,289,-4.44%,7.50%,-37.04%,-26.09%
Total,Total,Total,Blue Mountains,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blue Mountains,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blue Mountains,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blue Mountains,Townhouse,2 Bedrooms,-,-,-,-,110,-,-,-,-
Total,Total,Total,Blue Mountains,Townhouse,3 Bedrooms,-,-,-,-,143,-,-,-,-
Total,Total,Total,Blue Mountains,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Blue Mountains,Flat/Unit,Total,300,350,385,48,724,-5.41%,2.94%,-15.79%,0.00%
Total,Total,Total,Blue Mountains,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Blue Mountains,Flat/Unit,1 Bedroom,280,300,350,s,286,-1.64%,0.00%,0.00%,10.00%
Total,Total,Total,Blue Mountains,Flat/Unit,Not Specified,-,-,-,-,34,-,-,-,-
Total,Total,Total,Blue Mountains,Flat/Unit,2 Bedrooms,305,360,378,s,331,-8.86%,2.86%,-32.14%,-17.39%
Total,Total,Total,Blue Mountains,Flat/Unit,3 Bedrooms,-,-,-,-,56,-,-,-,-
Total,Total,Total,Blue Mountains,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,Total,Total,250,310,338,s,170,10.71%,19.23%,-34.78%,-21.05%
Total,Total,Total,Bogan,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,Total,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Total,2 Bedrooms,-,-,-,-,52,-,-,-,-
Total,Total,Total,Bogan,Total,3 Bedrooms,-,-,-,-,66,-,-,-,-
Total,Total,Total,Bogan,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,House,Total,250,260,325,s,107,-7.14%,-3.70%,-35.00%,-18.75%
Total,Total,Total,Bogan,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,House,3 Bedrooms,-,-,-,-,58,-,-,-,-
Total,Total,Total,Bogan,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,Other,Total,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Other,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Townhouse,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Flat/Unit,Total,-,-,-,-,36,-,-,-,-
Total,Total,Total,Bogan,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bogan,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bogan,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Total,Total,183,240,268,s,153,-4.00%,-4.00%,4.76%,29.41%
Total,Total,Total,Bourke,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,Total,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Total,2 Bedrooms,-,-,-,-,36,-,-,-,-
Total,Total,Total,Bourke,Total,3 Bedrooms,-,-,-,-,64,-,-,-,-
Total,Total,Total,Bourke,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,House,Total,-,-,-,-,89,-,-,-,-
Total,Total,Total,Bourke,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,House,3 Bedrooms,-,-,-,-,55,-,-,-,-
Total,Total,Total,Bourke,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,Other,Total,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Other,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bourke,Flat/Unit,Total,-,-,-,-,45,-,-,-,-
Total,Total,Total,Bourke,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Bourke,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Total,Total,-,-,-,-,60,-,-,-,-
Total,Total,Total,Brewarrina,Total,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Total,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Total,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Brewarrina,Total,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Brewarrina,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,House,Total,-,-,-,-,35,-,-,-,-
Total,Total,Total,Brewarrina,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Brewarrina,House,3 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Brewarrina,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Other,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Flat/Unit,Total,-,-,-,-,s,-,-,-,-
Total,Total,Total,Brewarrina,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Brewarrina,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
